title,description,price,currency,surface_m2,rooms,listing_type,seller_name,seller_type,city,category,url,price_raw,price_range
À louer un grand appartement,"À louer un bel appartement meublé de 4 chambres avec terrasses, 2 salons avec une grande terrasse, cuisine américaine, hall, salle à manger, 2 salles de bain, une salle d'eau.

Place au garage.

Emplacement stratégique dans un quartier administratif sécurisé, en face du consulat américain et du sièg",17000,DH,,4.0,Location,,,Moulay Youssef,Appartements,https://www.avito.ma/fr/moulay_youssef/appartements/À_louer_un_grand_appartement_56383991.htm,17000,Budget
BEN-MA-1118 - Appartement à vendre à Mansouria-B...,"Découvrez ce superbe appartement vendu meublé, idéalement situé dans une résidence fermée et sécurisée à Mansouria Benslimane.

Avec ses deux façades sans vis-à-vis offrant une belle vue sur la piscine et la mer, cet appartement de standing est une invitation à profiter d’un cadre balnéaire privilég",1200000,DH,,,Vente,,,Autre Secteur,Appartements,https://www.avito.ma/fr/autre_secteur/appartements/BEN_MA_1118___Appartement_à_vendre_à_Mansouria_B____57276565.htm,1200000,Premium
Vente Bureau de 65 m2 à Casablanca,"Abderrahmane ELKARMOUCHI vous propose à la vente un bureau professionnel de 65 m² situé au 3ème étage d’un immeuble sécurisé avec ascenseur, à Sidi Maarouf, Nassim.

Idéal pour un investisseur en quête d'un rendement immédiat, ce bien lumineux et bien agencé est déjà loué à un locataire sérieux (sec",845000,DH,65.0,,Vente,,,Sidi Maarouf,Bureaux,https://www.avito.ma/fr/sidi_maarouf/bureaux/Vente_Bureau_de_65_m2_à_Casablanca_57496532.htm,845000,Mid-range
Vente Bureau 2 piéces de 40 m2 à Casablanca,"Je mets en vente un bureau de 40 m² avec une place de parking titrée de 30 m², situé au 2ème étage d'un immeuble de 5 étages, sur le boulevard Abdelmoumen.

Ce bien est idéalement placé, offrant une belle visibilité et un accès facile. Il peut parfaitement convenir pour une activité professionnelle,",650000,DH,40.0,,Vente,,,Centre Ville,Bureaux,https://www.avito.ma/fr/centre_ville/bureaux/Vente_Bureau_2_piéces_de_40_m2_à_Casablanca_55978673.htm,650000,Mid-range
CMN-SI-1881 - Appartement à vendre à Bourgogne Est,"Découvrez cet appartement spacieux et bien agencé à vendre, idéalement situé dans le quartier prisé de Bourgogne Est à Casablanca, un secteur recherché pour sa proximité avec les commodités, les axes principaux et le centre-ville.

D’une superficie de 108 m², l’appartement est situé au 2ᵉ étage d’un",1800000,DH,108.0,,Vente,,,Bourgogne,Appartements,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1881___Appartement_à_vendre_à_Bourgogne_Est_57341638.htm,1800000,Premium
Location Bureau de 156 m2 à Casablanca,"Je mets en location un magnifique plateau de bureaux de 156m² dans un immeuble de bureaux de haut standing idéalement situé dans une rue calme en plein cœur de l’hypercentre de Casablanca.

L'immeuble se compose de 6 étages regroupant une surface utile de 800m2, 78m2 de terrasses et 57m2 de jardins ",28000,DH,156.0,,Location,,,Gauthier,Bureaux,https://www.avito.ma/fr/gauthier/bureaux/Location_Bureau_de_156_m2_à_Casablanca_56936500.htm,28000,Budget
Des appartements à louer journée,Des appartements à louer journée à Cornich Malabata bien équipés,400,DH,,,Location,,,Malabata,Appartements,https://www.avito.ma/fr/malabata/appartements/Des_appartements_à_louer_journée_55576207.htm,400,Budget
Appartement calme et sécurisé avec wifi,"Profiter de votre séjour à Agadir dans cet appartement très familial et très proche de tous les sites et commodités.
Emplacement 10/10 entre primeurs, épiceries, coiffeur, mosquée, café, boucherie, et d'autres commerces.
Situé dans un quartier propre et rue piétonne tranquille en plein centre ville ",300,DH,,,Vente,,,Hay Massira,Appartements,https://www.avito.ma/fr/hay_massira/appartements/Appartement_calme_et_sécurisé_avec_wifi_55109315.htm,300,Budget
Appartement spacieux de 145m2 à louer,"À louer magnifique appartement vide de 145 m² situé au 2ᵉ étage d’un immeuble calme de 3 étages avec ascenseur et avec un seul appartement par étage offrant confort tranquillité et intimité.
Composition 
3 chambres dont 1 suite parentale
Salon et séjour lumineux
Cuisine spacieuse et fonctionnelle
Ch",9000,DH,145.0,3.0,Location,,,Riad Oulad Mtaa,Appartements,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_spacieux_de_145m2_à_louer_57710895.htm,9000,Budget
Terrain à Amallou Berkane,"Terrain de 100 mètres, enregistré, raccordé à la conduite d'eau et aux eaux usées, entouré d'un mur.",180000,DH,,,Vente,,,Berkane,Terrains Et Fermes,https://www.avito.ma/fr/berkane/terrains_et_fermes/Terrain_à_Amallou_Berkane_56812272.htm,180000,Budget
"Appartement à louer près du tunnel de Kénitra, route de Rabat","Appartement à louer pour filles près du tunnel de Kénitra, route de Rabat et de la pharmacie de la zone franche. Il comprend 2 chambres, un salon et un balcon. Proche de toutes commodités et transports. Nous serons heureux de vous contacter via WhatsApp.",2200,DH,,2.0,Location,,,Autre Secteur,Appartements,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_louer_près_du_tunnel_de_Kénitra__route_de_Rabat_57710887.htm,2200,Budget
Appartement charmant à louer. WIFI et ascenseur,"Grand appartement meublé de 100m2 situé dans un quartier très calme en face du grand marché du poisson et légumes d'Agadir. Situé également à 10min en voiture de la plage, et à 5 min du grand marché d'Agadir (souq el had). Plein de petits commerces sont sur place pour faire les courses quotidiennes.",300,DH,100.0,,Location,,,Hay Massira,Appartements,https://www.avito.ma/fr/hay_massira/appartements/Appartement_charmant_à_louer__WIFI_et_ascenseur_55103662.htm,300,Budget
Location Bureau 3 pièces de 180 m2 à Casablanca,"Je mets en location un spacieux appartement à usage bureau / habitation, de 180 m² avec une terrasse de 70 m². Il se situé dans un immeuble de standing du quartier Franceville 2 à deux pas du Bd Abdelmoumen, par conséquent à proximité du tramway, commerces, écoles. Idéal pour profession libérale, mé",10500,DH,180.0,,Location,,,Oasis,Bureaux,https://www.avito.ma/fr/oasis/bureaux/Location_Bureau_3_pièces_de_180_m2_à_Casablanca_57085593.htm,10500,Budget
Location Bureau 2 piéces de 353 m2 à Casablanca,"Olivier Chavoin vous propose à la location un beau plateau de bureaux de 353m², stratégiquement situé au cœur du centre ville de Casablanca dans le quartier Gauthier.

Il se compose d'un open space pouvant être aménagé, deux cabinets de toilette, climatisation réversible.

Il dispose également de de",64000,DH,353.0,,Location,,,Gauthier,Bureaux,https://www.avito.ma/fr/gauthier/bureaux/Location_Bureau_2_piéces_de_353_m2_à_Casablanca_57608238.htm,64000,Budget
Top Bureau Zerktouni,"Nous mettons en location un beau bureau en plein Boulevard Zerktouni non loin du marché des fleurs, au sein d’un immeuble professionnel. Avec une superficie totale avoisinant les 150m2, bien agencé et valable pour tout type d’activités. Ascenseur et garage disponible.",14000,DH,150.0,,Location,,,Mers Sultan,Bureaux,https://www.avito.ma/fr/mers_sultan/bureaux/Top_Bureau_Zerktouni_56533815.htm,14000,Budget
Luxueux studio en vente a Gueliz pour AIRBNB,"Découvrez ce magnifique appartement de 61 m² situé dans le projet Zahra Signature I, une résidence moderne idéalement située sur Boulevard Abdelkrim Khattabi à Guéliz, Marrakech.
✨ Caractéristiques :
• Surface : 61 m² ainsi d' autres surfaces disponibles 

• Architecture moderne et finitions de qual",1526500,DH,61.0,,Vente,,,Av Abdelkrim El Khattabi,Appartements,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Luxueux_studio_en_vente_a_Gueliz_pour_AIRBNB_57606267.htm,1526500,Premium
Appartement meublé à vendre à Mجمع العرفان 1 à Boukhalef,"L'agence immobilière Al Manar vous propose un appartement meublé à vendre à Mجمع العرفان 1 à Boukhalef
Il se compose de deux chambres, un salon, une salle de bain et une cuisine au troisième étage sans ascenseur
Pour plus d'informations, veuillez nous contacter ou visiter nos agences immobilières",450000,DH,,,Vente,,,Boukhalef,Appartements,https://www.avito.ma/fr/boukhalef/appartements/Appartement_meublé_à_vendre_à_Mجمع_العرفان_1_à_Boukhalef_57025474.htm,450000,Mid-range
Commerces rentables de 13 à 51m² à Hay Taïbia,"Chaabi Lil Iskane vous propose une sélection de locaux commerciaux au RDC du projet AL MAHDIA à Kénitra, dans un secteur dynamique très demandé et idéal pour booster votre activité commerciale.

Livraison immédiate.
Nombre de commerces limité.",102500,DH,,,Vente,,,Taïbia,Local,https://www.avito.ma/fr/taïbia/local/Commerces_rentables_de_13_à_51m²_à_Hay_Taïbia_49189765.htm,102500,Budget
Appartement de luxe au centre ville,"Très bel appartement au centre d'Agadir. Bien équipé pour les familles et les couples mariés avec lact.
Appartement à louer à la journée à Agadir. Spécialement pour les familles. Equipé, propre et proche de toutes les administrations et marchés connus de la ville.",400,DH,,,Location,,,Hay Massira,Appartements,https://www.avito.ma/fr/hay_massira/appartements/Appartement_de_luxe_au_centre_ville_57262775.htm,400,Budget
Location Bureau de 150 m2 à Casablanca,"Je mets en location un magnifique bureau de 150 m² récemment refait à neuf et situé en plein cœur du triangle d'or.

Il se compose d'un grand open space, un bureau de direction avec balcon, deux WC séparés.

Il dispose également d'une place de parking.

Le prix de location est TTCC.

N'hésitez plus ",20000,DH,150.0,,Location,,,Racine,Bureaux,https://www.avito.ma/fr/racine/bureaux/Location_Bureau_de_150_m2_à_Casablanca_56982491.htm,20000,Budget
Appartement à louer 58 m² à Tanger,Maison à vendre près des souks Salam 58 mètres route 10/3 sans électricité sans eau possible échange contre voiture WhatsApp,750000,DH,,,Location,,,Mesnana,Maisons,https://www.avito.ma/fr/mesnana/maisons/Appartement_à_louer_58_m²_à_Tanger_57710881.htm,750000,Mid-range
Maison à vendre Tanger M'nana,"Maison à vendre prix 75 millions, route d 10/3, sans électricité ni eau. Situé à Aswak Assalam. J'accepte l'échange contre une voiture plus argent. WhatsApp",750000,DH,,,Vente,,,Mesnana,Maisons,https://www.avito.ma/fr/mesnana/maisons/Maison_à_vendre_Tanger_M_nana_57710882.htm,750000,Mid-range
